condition,condition_value,metric,reference,comparison,n_pairs,mean_diff,median_diff,statistic,p_value,reject_h0_holm_0.05,experiment,favors
treated_fraction,0.1,abs_ate_error,neural_rep,x_learner,30,0.060465410953065964,0.0467778467047848,96.0,0.004031794145703316,True,treatment_imbalance,baseline
treated_fraction,0.5,policy_regret,neural_rep,s_learner,30,0.0064448806427722626,0.00538569146013225,19.0,5.718320608139038e-07,True,treatment_imbalance,baseline
treated_fraction,0.5,policy_regret,neural_rep,t_learner,30,-0.10725290060691292,-0.1060053881855833,0.0,1.862645149230957e-09,True,treatment_imbalance,NeuralRep
treated_fraction,0.5,policy_regret,neural_rep,x_learner,30,-0.013188471723601962,-0.013416724324273249,8.0,4.6566128730773926e-08,True,treatment_imbalance,NeuralRep
treated_fraction,0.25,policy_regret,neural_rep,s_learner,30,0.008144347484597185,0.0064576156228605495,68.0,0.0003800932317972183,True,treatment_imbalance,baseline
treated_fraction,0.25,policy_regret,neural_rep,t_learner,30,-0.1291845776242441,-0.122334481945636,0.0,1.862645149230957e-09,True,treatment_imbalance,NeuralRep
treated_fraction,0.25,policy_regret,neural_rep,x_learner,30,-0.024728342932932048,-0.02299171675060395,0.0,1.862645149230957e-09,True,treatment_imbalance,NeuralRep
treated_fraction,0.1,policy_regret,neural_rep,s_learner,30,0.01046306513135322,0.003338969097244,93.0,0.007100609066184297,True,treatment_imbalance,baseline
treated_fraction,0.1,policy_regret,neural_rep,t_learner,30,-0.2109506328395026,-0.2171131999696348,0.0,1.862645149230957e-09,True,treatment_imbalance,NeuralRep
treated_fraction,0.1,policy_regret,neural_rep,x_learner,30,-0.04583208910910474,-0.04178072426794991,6.0,2.60770320892334e-08,True,treatment_imbalance,NeuralRep
